702283,原子核と電子%陽子と中性子%分子とイオン%原子核と陽子
702284,地球%東京ドーム%北海道%オーストラリア大陸
702285,陽子と中性子%陽子と電子%中性子%電子と中性子
702286,負の電荷をもつ%正の電荷をもつ%電荷をもたない%
702287,正の電荷をもつ%負の電荷をもつ%電荷をもたない%
702288,電荷をもたない%正の電荷をもつ%負の電荷をもつ%
702289,原子番号%元素記号%質量数%同位体
702290,質量数%原子番号%電荷%電気素量
702291,電荷%クーロン%イオン%磁荷
702292,4.0%1.0%2.0%8.0
702293,同位体%同素体%同族元素%異性体
702294,陽子1個と中性子1個からなる%中性子2個からなる%中性子1個からなる%陽子1個からなる
702295,放射性同位体%不安定同位体%核分裂性同位体%爆発性同位体
702296,放射能%崩壊性%発光性%電磁性
702297,17190%5730%11460%22920
702298,ヘリウム原子核%陽子%水素原子核%電子
702299,"90,234%90,236%92,238%91,238"
702300,電子%水素原子核%ヘリウム原子核%電磁波
702301,"56,137%55,137%53,133%54,137"
702302,電磁波%電子%ヘリウム原子核%陽子
702303,"56,137%54,135%54,133%55,137"
702304,電子殻%電子層%電子雲%電子室
702305,2%8%18%32
702306,8%2%18%32
702307,18%2%8%32
702308,"2,8,1%1,8,2%8,3,0%2,4,5"
702309,最外殻電子%L殻にある電子%K殻にある電子%M殻にある電子
702310,最外殻電子%陽子%自由電子%最内殻電子
702311,ネオン%酸素%水素%ナトリウム
702312,フッ素%ネオン%クリプトン%アルゴン
702313,ヘリウム%水素%窒素%酸素
702314,リチウム%アルミニウム%ナトリウム%銀
702315,ナトリウム%銀%アルミニウム%カリウム
702316,カリウム%ナトリウム%銀%アルミニウム
702317,ベリリウム%カルシウム%カリウム%アルミニウム
702318,マグネシウム%カリウム%アルミニウム%リチウム
702319,カルシウム%カリウム%マグネシウム%リチウム
702320,フッ素%ヒ素%ヨウ素%臭素
702321,塩素%ヒ素%ヨウ素%フッ素
702322,臭素%ヒ素%フッ素%塩素
702323,ヨウ素%フッ素%塩素%臭素
702324,ヘリウム%アルゴン%ホウ素%ネオン
702325,ネオン%アルゴン%ホウ素%ヘリウム
702326,アルゴン%ネオン%ヘリウム%酸素
702327,イオン%電磁波%ニュートリノ%原子核
702328,マグネシウムイオン%硝酸イオン%水酸化物イオン%炭酸イオン
702329,陽イオン%陰イオン%分子%希ガス
702330,陰イオン%原子核%分子%陽イオン
702331,2%1%3%4
702332,Al<sup>3+</sup>%Al<sup>+3</sup>%Al<sub>+3</sub>%Al<sup>3</sup>
702333,陽性%陰性%＋性%正性
702334,陰性%陽性%－性%イオン性
702335,硫酸イオン%水素イオン%ナトリウムイオン%マグネシウムイオン
702336,イオン化エネルギー%電子親和力%電気陰性度%ファンデルワールス力
702337,電子親和力%イオン化エネルギー%ファンデルワールス力%クーロン力
702338,同じ族%典型元素%遷移元素%同じ周期
702339,メンデレーエフ%アレーニウス%ベルセーリウス%ルシャトリエ
702340,周期%行%段%族
702341,族%列%周期%段
702342,小さい%大きい%変わらない%
702343,カルシウム%銅%鉄%銀
702344,銀%水素%ナトリウム%カルシウム
702345,カリウム%ネオン%リン%硫黄
702346,アルゴン%リチウム%アルミニウム%カルシウム
702347,ヨウ素%硫黄%ナトリウム%酸素
702348,ナトリウム%カルシウム%アルミニウム%マグネシウム
702349,カルシウム%リチウム%アルゴン%ベリリウム
702350,フッ素%ホウ素%水素%窒素
702351,陰極線%α線%γ線%β線
702352,トムソン%ドルトン%クルックス%ファラデー
702353,ラザフォード%トムソン%クルックス%ドルトン
