702212,"青銅器,土器,石器,プラスチック"
702213,"プラスチック,ガラス,セラミックス,アルミニウム"
702214,"熱硬化性,熱可塑性,メタクリル,イオン交換"
702215,"熱可塑性,イオン交換,高吸水性,メタクリル"
702216,"ポリエステル,ポリスチレン,レーヨン,ナイロン"
702217,"レーヨン,ナイロン,ポリエステル,アクリル"
702218,"ナイロン,アクリル,ポリエステル,レーヨン"
702219,"アクリル,レーヨン,ポリエステル,ポリスチレン"
702220,"セラミックス,ジュラルミン,プラスチック,アクリル"
702221,"窯業,プラスチック製品工業,非鉄金属工業,化学工業"
702222,"ケイ素,亜鉛,鉄,炭素"
702223,"ケイ素,亜鉛,鉄,炭素"
702224,"ファイン,超,次世代,ウルトラ"
702225,"ミセル,フラーレン,チンダル,ブラウン"
702226,"メタン,石油,砂,海水"
702227,"空気,エタノール,アンモニア,水"
702228,"分離,中和滴定,抽出,分解"
702229,"精製,分解,抽出,濃縮"
702230,"ろ過,再結晶,分留,抽出"
702231,"枝つきフラスコ,ガラス棒,ろ紙,ろうと"
702232,"蒸留,ろ過,再結晶,昇華法"
702233,"急激に起こる沸騰を防ぐため,沸騰させないため,急激に沸騰させるため,沸騰を徐々に起こすため"
702234,"枝つきフラスコ,メスフラスコ,丸底フラスコ,ビュレット"
702235,"分留,昇華法,抽出,ろ過"
702236,"再結晶,分留,蒸留,抽出"
702237,"昇華法,蒸留,抽出,ろ過"
702238,"抽出,再結晶,蒸留,昇華法"
702239,"ペーパークロマトグラフィー,蒸留,ろ過,抽出"
702240,"原子,単体,分子,イオン"
702241,"元素,アイソトープ,原子番号,同素体"
702242,"Pt,Pl,pt,PT"
702243,"水素,水,牛乳,アンモニア"
702244,"メタン,塩素,酸素,窒素"
702245,"同素体,異性体,同位体,遷移元素"
702246,"ダイヤモンド,黒鉛,石炭,フラーレン"
702247,"黒鉛,ダイヤモンド,フラーレン,カーボンナノチューブ"
702248,"フラーレン,石炭,カーボンナノチューブ,黒鉛"
702249,"カーボンナノチューブ,黒鉛,ダイヤモンド,フラーレン"
702250,"オゾン,メタン,窒素,フッ素"
702251,"黄リン,青リン,赤リン,黒リン"
702252,"赤リン,青リン,黒リン,黄リン"
702253,"斜方硫黄,単斜硫黄"
702254,"単斜硫黄,斜方硫黄"
702255,"ゴム状硫黄,斜方硫黄"
702256,"炎色反応,発熱反応,光化学反応,中和反応"
702257,"赤,黄,黄緑,紫"
702258,"黄,紅,赤,青緑"
702259,"赤紫,青緑,黄緑,黄"
702260,"橙赤,黄,黄緑,紅"
702261,"紅,橙赤,黄緑,紫"
702262,"黄緑,紫,青,赤"
702263,"青緑,黄,紅,紫"
702264,"沈殿反応,発熱反応,ビュレット反応,光化学反応"
702265,"炭素,塩素,ナトリウム,水素"
702266,"塩素,水素,アンモニア,酸素"
702267,"固体・液体・気体,氷・水・水蒸気,固体・流体・プラズマ,原子・分子・イオン"
702268,"化学変化,状態変化,相変化,物理変化"
702269,"状態変化,化学変化,核反応,化学反応"
702270,"熱運動,放射運動,平衡運動,反応運動"
702271,"融解,蒸発,昇華,沸騰"
702272,"凝固,蒸発,凝縮,昇華"
702273,"過冷却,昇華,不凍結,凝固点降下"
702274,"蒸発,融解,凝固,沸騰"
702275,"沸騰,蒸発,融解,昇華"
702276,"凝縮,凝固,沸騰,昇華"
702277,"昇華,凝固,沸騰,融解"
702278,"絶対,セ氏,ファーレンハイト,標準"
702279,273%173%373%300
702280,127%27%227%327
702281,"セルシウス,ファーレンハイト,絶対,相対"
