take the place of,～の代わりをする,"Who will <u><font color=""#FFC000"">take the place of</font></u> the chairperson?<br><br><div style=""height: 140px; overflow: auto;"">take placeは「(事が)起る、行われる」で意味が異なるので注意。類義語として、substitute A for B「Bの代わりにAを用いる」</div><br><br>類義語 : take O's place(～の代わりをする、～にとって代わる）<br>反意語 : <br>参考 : "
contribute to,～に貢献する,"With creative ideas we can <u><font color=""#FFC000"">contribute to</font></u> the future of the world.<br><br><div style=""height: 140px; overflow: auto;"">この場合contributeは自動詞として用いられる。他動詞としては、contribute A for B「BのためにA(金・援助)を与える」</div><br><br>類義語 : play a[one's] part in(～に貢献する)<br>反意語 : <br>参考 : "
be similar to,～に似ている,"His handwriting <u><font color=""#FFC000"">is similar to</font></u> mine.<br><br><div style=""height: 140px; overflow: auto;"">類義語として、look like O「(外見上)～に似ている」、take after O「(性質面で)似ている」　He takes after[×looks like] his father in that he is fond of music.(彼は音楽が好きだという点で父親に似ている)</div><br><br>類義語 : resemble(～に似ている)<br>反意語 : be dissimilar to(～に似ていない)<br>参考 : "
be worthy of,～に値する，～にふさわしい,"The computer technology <u><font color=""#FFC000"">is worthy of</font></u> study.<br><br><div style=""height: 140px; overflow: auto;"">worthで書き換えられる。The incident is worthy of being remembered=The incident is worth remembering.(その事件は記憶に値する。)</div><br><br>類義語 : deserve(～に値する)<br>反意語 : be unworthy of(～に値しない、ふさわしくない)<br>参考 : "
what is called,いわゆる,"He is <u><font color=""#FFC000"">what is called</font></u> a self-made man.<br><br><div style=""height: 140px; overflow: auto;"">挿入的な副詞節としては用いられない。×He is， what is called， a man. ○He is what is called a man of culture(彼はいわゆる教養人だ。)</div><br><br>類義語 : what we[you， they] call<br>反意語 : <br>参考 : "
go on a diet,ダイエットをする,"I suppose you should <u><font color=""#FFC000"">go on a diet</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">英語ではdietは減量という意味ではなく、規定食という意味で用いられることに注意。</div><br><br>類義語 : <br>反意語 : <br>参考 : "
on purpose,わざと,"It is likely that he was later than the appointed time <u><font color=""#FFC000"">on purpose</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">通常は文尾で用いる。×for purpose ○on purpose</div><br><br>類義語 : deliberately(わざと)<br>反意語 : by chance(偶然に)<br>参考 : "
do harm,（～に）害を及ぼす,"Rapid industrialization has <u><font color=""#FFC000"">done harm</font></u> to the Japanese culture.<br><br><div style=""height: 140px; overflow: auto;"">do O harm=do harm to Oで、目的語が入る場合は位置に注意。 例：Too much drinking will do you harm.(飲みすぎは体に悪い)</div><br><br>類義語 : damage(害を及ぼす)<br>反意語 : do good(役に立つ)<br>参考 : "
make a［the］ decision,決心する,"He <u><font color=""#FFC000"">made the </font></u><u><font color=""#FFC000"">decision</font></u> to buy the house.<br><br><div style=""height: 140px; overflow: auto;"">後に続く前置詞はonかaboutで「～についての決定」という意味になる。「～しないという決定」ではagainstを用いる。</div><br><br>類義語 : decide(決心する)<br>反意語 : <br>参考 : "
out of date,時代遅れで,"Changes in technology can make older people's skills <u><font color=""#FFC000"">out of date</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">out of～で「～から外れて」。そこから「時代から外れる」→「時代遅れ」という意味。</div><br><br>類義語 : out of fashion(すたれて)<br>反意語 : <br>参考 : "
make an effort,努力する,"I am going to <u><font color=""#FFC000"">make an effort</font></u> to do my work.<br><br><div style=""height: 140px; overflow: auto;"">努力を全くしないときはmake no effortと表現する。</div><br><br>類義語 : attempt (～を試みる)<br>反意語 : <br>参考 : make every effort (あらゆる努力をする)"
so much for,～はそれで終わり,"<u><font color=""#FFC000"">So much for</font></u> today.<br><br><div style=""height: 140px; overflow: auto;"">計画などを断念するときに用いる。</div><br><br>類義語 : <br>反意語 : <br>参考 : so much (そんなに多くのもの)"
take a picture,写真を撮る,"I had my friend <u><font color=""#FFC000"">take</font></u> my <u><font color=""#FFC000"">picture</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">pictureには「写真」という意味があり、撮影することを示している。ofを用いて「＜人＞の」と言うことができる。</div><br><br>類義語 : <br>反意語 : <br>参考 : "
mean to do,～するつもりだ,"I <u><font color=""#FFC000"">mean to</font></u> stay here for a few days.<br><br><div style=""height: 140px; overflow: auto;"">～する目的であるというニュアンスが強い。「～するという意味である」という意味にもなるので注意。</div><br><br>類義語 : <br>反意語 : <br>参考 : I mean（つまり）"
be in trouble,困っている,"He <u><font color=""#FFC000"">is in trouble</font></u> about the matter now.<br><br><div style=""height: 140px; overflow: auto;"">troubleには「面倒、困難」という意味があり、inには「～の状態にある」という意味があり、「困難な状態にある」という意味になる。withを用いて「～に関して」という表現もできる。</div><br><br>類義語 : be at a loss（困っている）<br>反意語 : <br>参考 : "
